Date,Open,High,Low,Close,Adj Close,Volume
2016-09-13,115.750000,116.089996,114.730003,115.290001,110.852654,45863900
2016-09-14,115.410004,116.470001,115.379997,115.839996,111.381477,28221800
2016-09-15,115.870003,117.820000,115.860001,117.639999,113.112221,38521400
2016-09-16,117.220001,117.410004,116.709999,117.290001,113.058235,27596500
2016-09-19,117.589996,117.949997,116.550003,116.779999,112.566635,16222900
2016-09-20,117.199997,117.480003,116.800003,117.000000,112.778717,18078600
2016-09-21,117.500000,118.320000,116.809998,118.150002,113.887199,31546800
2016-09-22,118.839996,119.220001,118.720001,119.089996,114.793274,22614400
2016-09-23,119.000000,119.000000,118.160004,118.330002,114.060707,22213400
2016-09-26,117.660004,117.800003,117.169998,117.339996,113.106430,16403900
2016-09-27,117.260002,118.559998,117.150002,118.500000,114.224571,20238400
2016-09-28,118.650002,118.769997,118.089996,118.699997,114.417343,14794300
2016-09-29,118.500000,118.720001,117.330002,117.839996,113.588394,27207500
2016-09-30,118.150002,119.070000,118.029999,118.720001,114.436638,25543200
2016-10-03,118.570000,118.699997,118.089996,118.550003,114.272781,19216400
2016-10-04,118.900002,119.160004,117.919998,118.370003,114.099266,21239700
2016-10-05,118.720001,119.169998,118.669998,118.790001,114.504120,14481300
2016-10-06,118.639999,118.980003,118.150002,118.730003,114.446289,11987100
2016-10-07,118.839996,119.010002,117.889999,118.470001,114.195648,19984200
2016-10-10,119.080002,119.480003,119.029999,119.220001,114.918602,19687300
2016-10-11,119.120003,119.139999,117.000000,117.519997,113.279930,27774400
2016-10-12,117.629997,117.820000,117.059998,117.419998,113.183533,14267800
2016-10-13,116.620003,117.320000,115.940002,117.000000,112.778717,22821000
2016-10-14,117.580002,118.050003,117.070000,117.139999,112.913628,21313300
2016-10-17,117.040001,117.300003,116.669998,116.820000,112.605186,14182700
2016-10-18,118.209999,118.410004,117.800003,117.860001,113.607658,19276700
2016-10-19,117.769997,118.019997,117.639999,117.849998,113.598007,13702900
2016-10-20,117.730003,117.970001,117.029999,117.709999,113.463066,18132200
2016-10-21,117.800003,118.220001,117.410004,118.150002,113.887199,15707800
2016-10-24,118.910004,119.650002,118.889999,119.570000,115.255974,19143000
2016-10-25,119.639999,119.660004,119.010002,119.190002,114.889664,20341800
2016-10-26,118.419998,119.029999,118.029999,118.379997,114.108894,20463700
2016-10-27,118.889999,118.989998,117.669998,117.839996,113.588394,19099800
2016-10-28,117.500000,118.110001,116.739998,117.099998,112.875076,35369300
2016-10-31,117.529999,117.529999,116.930000,116.989998,112.769051,18749400
2016-11-01,117.190002,117.209999,115.099998,116.110001,111.920807,23498700
2016-11-02,116.029999,116.300003,114.889999,115.180000,111.024353,26960100
2016-11-03,114.989998,115.370003,113.919998,114.050003,109.935127,36205200
2016-11-04,113.769997,114.540001,113.449997,113.650002,109.549553,26997500
2016-11-07,115.489998,116.470001,115.300003,116.349998,112.152138,26591200
2016-11-08,116.230003,117.639999,115.959999,117.110001,112.884720,20777900
2016-11-09,115.739998,117.839996,115.599998,117.650002,113.405228,70234400
2016-11-10,118.220001,118.379997,114.199997,115.750000,111.573776,72825400
2016-11-11,115.250000,116.050003,114.839996,115.800003,111.622002,41115200
2016-11-14,115.830002,115.940002,114.029999,114.629997,110.494194,35906000
2016-11-15,115.500000,116.620003,115.330002,116.220001,112.026810,31796600
2016-11-16,115.669998,116.989998,115.669998,116.910004,112.691940,16538100
2016-11-17,116.849998,117.779999,116.610001,117.760002,113.511284,20598600
2016-11-18,117.900002,118.099998,117.209999,117.320000,113.087135,16428700
2016-11-21,117.610001,118.650002,117.570000,118.540001,114.263138,20268500
2016-11-22,119.010002,119.190002,118.610001,118.900002,114.610153,18850600
2016-11-23,118.510002,118.639999,117.900002,118.419998,114.147453,22926000
2016-11-25,118.559998,118.849998,118.419998,118.800003,114.513763,7162800
2016-11-28,118.650002,119.080002,118.410004,118.529999,114.253471,13479000
2016-11-29,118.639999,119.510002,118.300003,118.940002,114.648689,18553000
2016-11-30,119.089996,119.129997,117.459999,117.500000,113.260643,30405300
2016-12-01,117.459999,117.470001,115.290001,115.470001,111.303894,39796600
2016-12-02,115.540001,116.160004,115.220001,115.699997,111.525612,32876800
2016-12-05,116.300003,117.059998,115.769997,116.599998,112.393127,21419700
2016-12-06,116.930000,117.080002,116.389999,116.879997,112.663025,27293300
2016-12-07,116.639999,118.510002,116.290001,118.360001,114.089615,26622400
2016-12-08,118.410004,118.870003,118.180000,118.570000,114.292038,18578400
2016-12-09,119.010002,119.540001,119.000000,119.500000,115.188499,21863100
2016-12-12,118.970001,119.209999,118.470001,118.959999,114.667992,23259300
2016-12-13,119.320000,121.110001,119.320000,120.459999,116.113853,54477900
2016-12-14,120.610001,121.000000,119.860001,120.209999,115.872879,28746000
2016-12-15,120.370003,121.110001,120.080002,120.400002,116.056015,22762300
2016-12-16,120.339996,120.580002,119.360001,119.599998,115.625809,26283900
2016-12-19,119.720001,120.830002,119.550003,120.089996,116.099525,21138700
2016-12-20,120.470001,120.769997,120.330002,120.550003,116.544235,11461800
2016-12-21,120.599998,120.680000,120.190002,120.459999,116.457237,7079300
2016-12-22,120.470001,120.500000,119.650002,120.120003,116.128540,16645000
2016-12-23,119.919998,120.250000,119.809998,120.199997,116.205887,9007500
2016-12-27,120.459999,121.519997,120.410004,120.820000,116.805275,16110600
2016-12-28,121.080002,121.190002,119.800003,119.879997,115.896523,17975200
2016-12-29,119.849998,120.129997,119.330002,119.709999,115.732162,13267500
2016-12-30,119.940002,119.949997,118.139999,118.480003,114.543022,41749000
2017-01-03,119.269997,119.989998,118.889999,119.540001,115.567802,22307600
2017-01-04,119.669998,120.410004,119.660004,120.190002,116.196205,19749100
2017-01-05,120.099998,120.949997,120.099998,120.870003,116.853630,20644300
2017-01-06,121.000000,122.250000,120.690002,121.930000,117.878395,24074300
2017-01-09,122.029999,122.550003,121.949997,122.330002,118.265091,18909200
2017-01-10,122.379997,122.970001,122.099998,122.599998,118.526123,16176600
